# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight
1435333083500623830	207.452	2.00325	2.67012	200.94	2	94.3639	53.5521	-2.93069	3.38878	81.787	0	1.28301	241.765	1.28924	1.64414	5.27157	-0.950432	-0.978755	0	0.00409717
9081647328442134516	343.246	0.35254	1.18505	176.715	3	224.689	105.561	-0.215105	5.46513	97.2709	0	0.255723	704.403	4.67774	2.12442	0.224412	-0.649094	-0.999962	0	0.0771688
3559772124119044259	632.657	1.6684	3.42841	1012	6	568.513	241.104	-0.715265	5.58917	68.5646	0	0.0367159	1423.62	5.44029	0.802786	1.56995	0.341011	-0.978679	0	5.49238e-05
1274449740933810125	96.3764	2.209	3.33766	221.703	4	73.1997	60.9535	-0.446356	3.6329	65.6477	0	0.113436	397.429	1.87573	0.459898	2.57015	0.964386	-0.338411	0	0.0103375
13916020547090191120	363.876	1.5976	1.88038	164.376	2	186.463	35.2659	-0.242511	0.897508	79.3987	0	1.00748	428.055	6.15334	2.27392	0.669052	0.921608	-0.935782	0	0.0252668
18227301006925615330	192.26	1.71015	2.50755	303.659	3	148.526	99.6237	0.119502	0.509022	53.2116	0	0.658351	490.037	1.82685	2.10981	0.220631	-0.657883	-0.74407	0	1.99294
13008591082229745191	462.852	0.0673112	2.20118	550.134	2	338.628	278.976	-1.00534	1.45599	109.163	0	0.551791	798.005	5.55394	1.37169	0.926457	0.206037	-0.996079	0	0.387647
3872727574106579721	54.8564	4.74622	5.34836	680.933	2	95.0355	41.7852	-0.863547	0.217485	79.4027	0	1.47508	321.244	1.62736	2.85263	2.86279	0.891302	-0.986239	0	1.7934e-06
9922593609324069039	143.631	0.90064	3.0832	322.421	2	262.567	81.834	-1.41887	0.726228	108.882	0	1.10579	576.192	4.20353	1.57195	1.62135	0.990291	-0.968518	0	1.77928
3949671121391589167	47.9982	2.22756	3.69726	382.435	2	121.427	105.766	0.0814252	1.44159	43.5929	0	0.433233	338.864	0.809692	1.74185	1.1393	0.955751	-0.896627	0	0.0117684
16078310394854685384	602.673	1.1437	1.6251	228.296	2	438.647	43.149	0.0161626	0.249577	168.948	0	1.0169	894.877	2.21087	2.08357	0.138486	-0.489714	-0.990681	0	0.0375096
5557161351330026635	708.988	0.875487	0.873398	164.354	2	298.697	108.79	-0.722219	0.00751601	43.6868	0	0.674878	580.615	0.324565	2.83386	0.702988	0.461717	-0.951929	0	0.013939
17285557698706946655	1064.78	0.663696	2.77947	418.042	2	826.357	49.1439	-0.327048	0.342306	108.067	0	0.28471	1427.71	2.77775	0.914128	0.506604	0.802183	-0.999617	0	0.0894006
1796781347001154700	242.53	0.646322	2.411	325.667	2	194.659	143.088	-0.35154	1.96283	55.052	0	0.0661986	460.537	4.32919	0.684004	1.05319	-0.614588	-0.978158	0	0.575625
4532689408178015918	93.4201	2.51705	3.39755	239.836	2	123.494	33.4441	1.14547	1.08093	60.7335	0	0.00926282	319.148	0.187636	1.38497	0.0375519	-0.142429	-0.981574	0	0.305743
5227846206280481791	32.5867	3.47953	4.56845	449.51	3	79.5014	73.7296	1.20534	2.45122	147.677	0	0.61504	450.015	5.27174	1.94694	0.343762	0.0416519	-0.591968	0	1.41281
5583170232692472584	264.927	0.0866936	3.0978	552.429	3	365.856	207.809	-1.13689	4.71967	159.426	0	1.90968	781.616	0.195492	1.17015	0.796776	0.909636	-0.965891	0	0.0304093
12234527680232931300	67.8951	1.88687	2.83956	340.264	3	127.198	116.539	-1.3305	3.04863	188.649	0	1.78918	517.584	0.795258	1.43999	3.63572	-0.0197835	-0.829997	0	1.24778
9143184808383650735	293.517	1.45749	1.69682	252.853	4	151.107	130.163	-0.339064	1.37552	108.532	0	0.221924	605.892	5.7855	1.49521	0.760124	-0.147824	-0.994508	0	-8.98235e-06
13878674143459924278	55.6372	0.0341626	2.62549	94.5007	2	62.3664	38.2164	-1.40096	2.95923	68.4934	0	0.542312	222.398	3.60154	1.10549	2.76843	-0.757352	0.584636	0	0.0384931
5717928958933642069	175.381	1.12657	2.22262	195.137	2	178.693	51.6472	-0.709952	0.385173	95.3311	0	0.97289	455.341	0.779356	1.44034	0.560069	-0.97684	-0.977931	0	0.883828
9799877747685390795	62.4706	0.82628	2.29341	468.752	7	309.158	185.535	-1.33174	2.19077	183.862	0	1.93092	1199.44	5.66477	0.59698	1.43372	0.679723	0.740433	0	0.36024
11428772581320811543	117.478	4.05419	4.81565	526.625	2	110.849	42.1039	0.640648	2.2758	97.0096	0	0.89896	286.293	1.36281	0.648857	1.68772	-0.767817	-0.947989	0	0.00357646
3243151345057547280	122.953	1.62818	1.80779	97.6164	2	56.364	42.4599	-0.0187967	0.674538	131.627	0	1.55052	294.238	5.39106	2.19261	0.262035	0.968272	-0.978319	0	0.396341
3625543555400185508	104.556	0.734579	3.18469	323.888	2	172.237	133.241	-2.57946	2.79043	80.5378	0	1.19145	411.595	0.699525	2.32866	4.23262	-0.918081	0.813457	0	0.104133
14378957611196469289	491.397	0.834003	2.83702	244.507	2	307.385	42.131	-3.66349	0.0987945	77.4151	0	1.60026	518.562	0.635244	2.06821	3.48097	0.706819	-0.961362	0	0.000879175
2156616822627095252	650.293	0.579971	2.43577	329.724	3	353.093	80.1092	-0.87089	1.19498	48.0292	0	1.03403	560.291	0.610851	0.347242	0.936111	0.34158	-0.999053	0	0.0371175
3868280985538148532	41.5637	1.21256	2.44606	150.89	2	71.1037	67.7381	-0.773169	4.85313	146.236	0	1.62585	276.29	3.18801	1.43837	0.993962	-0.999611	-0.997738	0	0.155184
7284626120636999861	96.1304	6.2918	6.41069	875.267	2	44.8149	31.6819	2.04193	2.06212	61.148	0	0.990913	185.213	2.19368	2.12689	1.26095	0.691736	0.972328	0	0.0478296
1500453380181528419	306.447	0.850398	0.8622	81.8411	2	120.969	67.8419	-0.969731	4.87128	101.35	0	0.851699	366.462	5.63508	2.29506	1.11986	0.722213	-0.979609	0	0.00391663
8425459548650880621	138.208	1.71722	3.56703	554.105	3	266.504	148.407	0.180764	1.58007	83.6653	0	0.0696676	655.889	2.74731	1.42304	0.425564	0.608055	-0.856179	0	0.000856289
9547533874833654601	181.153	4.16601	4.21295	583.779	3	121.242	44.7212	0.259677	5.29601	103.929	0	0.866677	454.869	4.43464	2.39286	1.73994	-0.470389	-0.99513	0	4.28017e-05
7087190883059459796	85.1747	0.709775	1.56118	85.5064	2	73.6203	44.8382	-2.63026	1.35728	92.5985	0	0.581805	292.995	1.45172	3.09732	2.48146	0.799779	-0.984848	0	0.000497298
1256498338459541009	363.027	2.14076	3.17668	585.977	4	207.818	163.52	-1.54858	0.0528501	35.1047	0	0.981235	700.363	3.96278	1.28218	2.33666	-0.864495	-0.430403	0	0.110758
3220188821026495019	137.068	0.992219	3.23179	348.47	4	177.181	134.97	-2.98363	4.11513	189.446	0	1.66278	692.093	0.25475	2.22815	2.43702	-0.346047	-0.332149	0	5.14832e-06
7276189927008415464	72.3166	2.06019	3.07614	195.299	2	74.9746	54.6877	-1.15741	3.08559	272.297	0	1.21013	400.438	3.23079	1.10943	3.35301	0.12406	-0.916395	0	0.306478
15389432525819383140	328.01	0.255128	3.08405	2580.12	2	1441.03	1136.04	-0.54564	3.89727	475.63	0	0.964924	3142.72	3.05412	0.432522	0.0488619	0.553798	-0.997239	0	0.102222
1420280708402549515	617.315	0.979181	1.39404	289.432	3	217.512	190.276	-1.34701	0.59413	23.0881	0	0.0650167	637.582	2.64937	2.82256	1.8143	0.192436	-0.998813	0	0.016002
3784474067644573551	273.077	2.03041	2.38053	196.695	2	76.6964	70.9015	-1.85846	3.96978	114.258	0	0.286882	382.199	1.30597	2.46836	2.63384	-0.986825	-0.999439	0	5.51533e-05
2092604738055453686	121.852	0.251194	2.94912	208.847	4	110.083	97.9191	-1.63195	2.64111	231.054	0	1.14895	605.573	1.11031	0.495185	0.440714	0.897691	0.276423	0	0.0965425
15778786556378500370	179.91	0.787272	0.792651	44.6592	3	65.71	40.2852	-4.42364	1.4488	73.9766	0	1.66642	243.511	5.49968	3.83982	4.44073	0.992828	-0.537308	0	0.0254014
5788754578041671885	50.8823	1.77173	2.35017	76.2076	2	31.6534	30.5456	-2.06497	1.1342	44.2397	0	0.696745	251.551	0.921242	2.14332	2.82824	-0.664487	-0.286788	0	0.079349
17861002515460083322	51.3506	0.465442	2.90989	144.191	2	97.2849	51.1811	-1.12622	1.16869	90.3453	0	1.3828	290.875	3.58871	1.22687	1.03579	-0.0255474	-0.872234	0	0.639032
8569889304208832977	479.316	0.385309	0.85871	170.713	2	243.496	157.196	-0.447369	0.111557	116.846	0	0.93494	725.794	3.77214	2.77381	0.0870084	-0.172379	-0.996575	0	0.251513
13780982690915348044	133.638	1.84002	3.63375	226.396	4	83.6587	71.4892	-1.7888	3.08542	61.4447	0	0.185202	409.739	4.06917	1.60112	4.35607	-0.870873	-0.974727	0	2.90631
17789263494438470772	63.6945	1.27644	3.24723	75.3508	2	31.883	30.3546	0.401269	0.988689	34.3776	0	0.309	212.914	1.56591	0.973672	0.170855	0.997589	0.95478	0	0.127233
