# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

17247060964697168149	181.038	4.24915	4.75396	1071.92	3	138.776	116.125	1.11827	3.54378	82.0152	0	1.10845	554.963	0.383654	1.49421	2.16216	0.576455	-0.978837	0	1.1102
16851326155306520816	158.01	4.06663	4.7559	1154.2	3	219.319	101.305	0.330435	0.933955	119.277	0	1.67291	662.207	0.442997	1.65586	0.634571	-0.695639	-0.910058	0	0.000616729
18297546563800702686	148.587	4.08375	4.9842	598.747	3	102.53	56.6435	1.58294	3.31586	63.0338	0	0.198029	323.256	4.80883	1.93737	1.95927	-0.976092	-0.939328	0	2.4759
1016738218778795380	167.869	3.85013	4.85298	899.852	2	177.355	93.0341	0.522047	2.34611	71.9952	0	1.09015	374.634	3.91041	2.19264	0.274806	0.962131	-0.551931	0	0.486305
10846416478024763474	376.663	3.49241	4.63696	714.007	2	305.375	47.8054	1.24705	0.792978	88.2342	0	0.658653	716.595	1.15429	1.46396	0.068766	-0.932876	-0.98545	0	0.249954
16252666601871864593	109.315	5.26352	5.25437	695.862	2	51.7112	48.9233	2.15529	0.001759	29.0263	0	0.611646	385.644	2.63272	3.2242	0.236946	-0.981054	-0.815192	0	0.00013361
2289421816731266030	324.531	4.10577	4.90646	1694.1	3	296.117	154.889	1.20856	5.03031	159.797	0	1.36018	985.816	5.96678	1.60382	0.31195	0.897792	-0.994605	0	0.000694093
8672710755401144905	289.023	2.50165	3.99877	638.907	5	224.639	126.224	0.139632	1.75223	126.669	0	0.172567	865.587	2.74989	0.648474	1.18987	0.36262	-0.958405	0	1.32039e-06
16647795655938259424	182.951	4.57954	5.48302	2357.76	2	314.281	177.804	-0.311151	0.651211	76.5778	0	1.02568	763.141	5.04191	2.31858	2.18044	-0.74076	-0.886866	0	0.85954
16238599989224783535	203.889	6.00791	6.23769	2208.66	2	123.981	96.6825	2.78307	0.342858	29.3219	0	0.367174	478.725	5.14559	3.45902	0.0228193	0.660991	-0.938518	0	4.3975e-05
6244004957176495510	218.501	4.73223	4.71963	774.602	2	116.852	45.9759	1.34527	2.99336	167.662	0	0.217655	432.563	3.00109	1.6623	1.55098	0.553653	-0.974931	0	0.492803
10009059357848324659	76.8138	4.97351	5.8371	1504.61	2	140.376	109.966	1.92626	0.485017	31.979	0	0.823586	446.703	4.23088	2.1332	0.135699	0.958628	-0.553767	0	1.44112
4463068999094553470	147.033	4.30077	4.80621	617.318	2	120.817	42.0629	1.59675	2.65306	128.569	0	0.948777	513.124	3.75687	2.46192	1.01727	0.847343	-0.787898	0	0.344556
4748241550788638620	250.977	4.96207	5.81085	1381.93	2	230.691	57.101	1.41773	4.31491	94.6877	0	0.631932	649.954	5.09366	2.60596	1.07517	-0.93445	-0.985842	0	3.60123
7043814336319858780	292.25	6.98215	7.17305	2685.12	2	146.739	45.5769	1.03529	4.58136	104.457	0	1.43493	555.857	0.750657	2.17068	2.34088	-0.0686369	-0.99256	0	5.64061e-11
15891935839487488366	156.496	4.5555	4.64936	609.396	3	70.3244	56.052	0.185723	0.529015	89.8005	0	1.5143	368.982	3.64688	2.16245	1.44697	0.969692	-0.660706	0	0.000471534
37142599081627021	719.449	2.46827	2.47295	616.706	4	198.83	190.795	-1.48428	5.32076	649.452	0	1.3231	1599.23	0.551838	2.78511	2.22948	0.739305	-0.999806	0	4.039e-07
636962186036756213	414.758	5.20327	5.26626	1405.37	3	163.021	67.0665	2.1504	4.52367	80.9553	0	0.787201	457.028	5.35365	2.57887	0.208189	-0.307378	-0.991446	0	0.673865
6168102863469363392	280.69	5.11458	5.86661	940.871	2	158.025	33.2572	0.121511	0.211373	112.191	0	2.17892	513.119	2.41418	2.88635	1.78224	-0.289482	-0.976003	0	0.104443
118506796070200752	94.8137	3.66497	4.65946	510.418	2	89.1946	71.1388	0.731162	2.11634	53.2117	0	0.545482	399.921	4.33384	1.12243	1.50477	0.800382	0.807756	0	0.00106727
6959243599059302573	101.393	3.83227	4.8834	599.015	2	121.137	61.4039	0.6419	4.69609	69.7115	0	0.614161	432.914	3.57931	1.55541	1.15154	-0.852787	-0.710898	0	0.00507172
756561801677152023	4.45629	3.8211	4.90439	518.435	4	96.914	58.0607	0.211983	1.59585	69.4276	0	0.998097	425.19	5.94256	0.458509	1.39007	-0.728674	0.431991	0	0.00819132
17960876410854046629	327.878	3.80204	4.10495	659.345	2	204.595	47.3472	1.73767	0.516895	27.8879	0	0.00389614	397.288	2.6982	2.26389	0.187012	0.991996	-0.872764	0	1.83782e-05
9038147956736399439	172.621	3.79854	4.79063	521.525	4	87.6071	66.4698	0.221507	2.63158	75.1901	0	0.236448	491.836	4.94253	0.542847	2.5619	0.81329	-0.959378	0	0.917815
11402294783867852383	335.219	4.15191	5.0428	994.521	2	270.121	55.8112	1.67133	5.84851	32.8269	0	0.278942	537.121	0.436232	1.72963	0.33028	0.851549	-0.999982	0	6.04566e-07
1175080107214515677	61.1986	3.8775	4.58308	516.55	2	77.7842	68.6728	-0.389485	0.724129	34.9297	0	0.682803	347.54	0.871546	2.21967	2.13319	0.777799	-0.757756	0	4.59693
16212147563264346188	1509.71	3.75232	3.89032	1500.95	2	937.834	57.6186	1.16625	0.359819	57.3268	0	0.220125	1579.3	3.69994	2.98905	0.686472	0.421611	-0.999431	0	3.21724e-07
14436187266885075190	101.327	3.2225	4.27276	759.332	2	184.039	115.763	0.940465	5.56711	58.2944	0	0.719638	650.636	1.77849	2.00336	0.236848	-0.0161318	-0.984213	0	0.84626
17970936330716547724	133.236	5.2793	5.93242	1571.68	3	189.784	65.7029	0.674074	3.9404	300.678	0	2.73504	526.411	1.6031	0.706433	2.12496	-0.240375	-0.990834	0	10.1429
18255458349527837344	345.605	5.79883	5.81779	2429.94	2	201.12	89.3834	0.983071	5.17504	213.947	0	1.97355	647.061	6.1515	2.25523	0.265076	0.818986	-0.99723	0	0.918089
8389943495261760091	526.215	2.47297	2.58193	529.309	2	183.051	145.285	0.657281	1.07412	40.7867	0	0.991401	467.809	0.700948	1.82289	0.346489	-0.408487	-0.828041	0	0.000353736
12877832944450204198	384.161	3.14031	4.09248	1172.35	3	313.442	174.998	-0.00228149	0.82941	131.506	0	1.61271	803.721	5.62115	1.63049	0.455483	0.467615	-0.990639	0	3.11134
10746650882932722900	141.396	3.94498	4.81116	584.34	2	130.287	48.8911	1.40695	3.41119	64.3637	0	0.668081	355.537	4.30103	2.40996	1.71097	-0.971551	-0.878241	0	0.00779567
8448571863624511985	95.0197	4.24058	4.63	522.876	2	65.7472	59.3242	0.265263	1.7634	142.557	0	0.760582	376.979	5.48432	2.16565	1.81274	0.894937	-0.940577	0	15.4225
4684452695891690306	357.703	3.89708	3.92788	660.42	2	234.016	39.1005	-0.762873	0.608261	98.3379	0	1.21039	612.132	6.26262	2.50393	2.62153	0.991632	-0.997995	0	0.169638
7089513866363251854	502.592	2.57184	3.18123	786.698	4	386.582	114.769	0.272109	0.506353	171.922	0	0.702896	1226.09	0.567076	1.79019	0.539519	-0.0341718	-0.992155	0	9.99134e-07
7983751963551039634	285.05	6.10979	6.77876	2276.07	2	225.268	50.8515	2.49718	1.00408	31.3653	0	0.38655	473.331	5.13056	2.49331	0.475541	-0.963846	-0.953708	0	5.65292
1360871812299928371	180.828	4.00002	4.82375	579.838	2	161.793	36.7925	1.53086	1.63643	77.5745	0	0.414202	345.637	4.07378	1.78285	0.315389	-0.758908	-0.989625	0	1.17414
12827924254458529765	87.8247	4.30431	5.14302	1031.92	2	138.026	101.425	0.66153	1.16308	49.9713	0	0.722006	385.622	0.611156	2.739	1.45823	0.594494	-0.842772	0	2.15518
14596969800505121895	251.292	3.97461	3.99768	626.77	2	110.062	69.1794	1.03109	0.295217	141.79	0	1.62185	590.758	0.0582923	2.81814	0.564488	0.711852	-0.919491	0	1.40043e-06
12419508632768591414	53.9408	3.91645	5.01267	787.744	2	134.81	88.0797	1.28605	1.41796	69.3905	0	1.25504	433.574	3.62218	1.37496	0.0434821	0.0423432	-0.925292	0	0.000411064
4664322924330743339	289.493	3.258	3.68921	607.74	4	225.115	61.0681	1.18275	5.01823	69.1421	0	0.486762	659.133	5.50223	1.51588	0.0443323	0.555795	-0.984354	0	2.2651e-08
16833242818728978675	124.852	5.31582	6.05714	1792.02	4	165.657	94.3089	1.1173	3.28725	79.6964	0	0.745025	609.548	0.946368	2.05136	2.73697	0.983425	-0.0412425	0	4.87765e-05
13948520858726524788	387.88	2.53431	3.28719	703.076	2	262.666	136.728	0.196378	1.45713	75.3246	0	1.1162	554.379	4.62666	1.63599	0.700407	-0.851679	-0.9748	0	4.1823
1073591654242630192	818.079	4.67731	4.70306	2712.28	2	268.002	259.375	1.09123	0.153537	93.147	0	1.0167	865.574	4.77676	3.11198	0.576839	-0.964783	-0.998714	0	0.431872
534667352803361616	213.269	2.89442	4.26022	569.404	3	174.846	90.4876	-0.825462	2.34793	177.278	0	1.9654	631.278	2.66002	1.59971	0.127608	0.519934	-0.969525	0	0.00199563
5641432429174874005	1154.87	2.86894	3.00511	1429.14	4	546.289	226.773	0.439378	0.163315	22.8026	0	0.350682	1138.29	2.7162	2.59961	0.737089	0.881819	-0.980326	0	1.80342e-05
16599124559179745962	219.059	3.53845	3.59815	705.763	3	146.233	103.358	0.858511	2.51862	181.198	0	0.582674	790.366	5.28986	1.46332	0.797675	-0.99992	-0.973103	0	1.01279e-06
3538476720742101847	643.817	3.52068	3.60419	1135.7	3	280.508	141.446	-0.224084	0.869044	109.122	0	1.03446	808.46	4.27753	2.52815	1.2963	-0.728398	-0.980291	0	1.05958e-06
116585951932292004	287.491	5.16063	5.71978	2480.47	2	311.73	112.21	0.409022	4.32555	263.668	0	1.73572	733.363	0.66871	1.73331	1.25727	0.413829	-0.998626	0	1.82452
