# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

10236544687257883291	123.754	5.16829	5.43518	511.852	2	42.9809	34.6055	-0.00876512	2.85166	83.9442	0	1.49584	202.018	6.2494	1.3864	3.75762	-0.937431	0.931238	0	0.0388607
2520089957430624016	89.8483	3.74051	4.70645	523.988	4	80.8054	76.8081	0.21863	2.55962	283.9	0	1.36437	716.098	2.4778	1.66631	1.50793	0.897088	0.258073	0	0.0447932
10247867456789401573	427.181	3.26775	4.21257	1605.55	3	407.462	225.151	0.76336	1.35606	94.3536	0	0.656811	890.938	3.56129	1.48773	0.413723	0.543262	-0.991372	0	0.292691
8014235112068892242	544.829	2.95206	3.64385	1610.4	3	515.859	247.486	-0.0935598	0.93034	90.3024	0	0.449617	1293.51	4.79778	1.74517	1.16052	-0.839802	-0.999016	0	0.0108823
4340621129731321223	36.0643	2.60455	4.03317	580.307	2	152.91	140.843	0.0906417	2.98608	227.369	0	2.0613	507.588	1.44034	1.49339	2.21511	0.945518	0.222123	0	0.0030215
17938661849419312950	112.77	4.72243	5.21172	904.555	3	109.597	65.5623	0.111956	5.27873	51.2802	0	1.60489	312.996	4.38012	2.24276	1.483	-0.0177351	0.262879	0	0.315137
8877949710593323204	487.061	4.09117	4.8088	1486.11	6	418.559	85.5861	0.0398674	1.50133	106.504	0	0.412913	1114.56	2.64151	1.57864	1.8239	0.195129	-0.989576	0	1.02873
4962815033262154633	123.516	2.50759	3.94467	542.987	3	146.355	138.282	0.393509	4.55325	85.4731	0	0.142435	632.198	2.43289	1.10372	0.709848	-0.991224	-0.690723	0	1.78133
15672325422877867350	278.408	3.86033	3.96846	644.475	2	203.023	44.0772	0.927824	1.59765	220.411	0	1.22889	532.426	2.26265	2.73661	0.309224	0.225543	-0.998858	0	0.0201653
1079299743705201179	963.773	2.44264	2.44179	952.804	2	545.859	172.942	-0.892086	0.088496	131.807	0	0.73924	1235.65	3.44318	3.13602	1.99102	0.683058	-0.996825	0	0.000103216
